project,sha,author,commit_date,is_bug
'android','00012ad3728a3125e9d0e7b51968d9ee93001c1f','Artur Termenji','2013-01-21','False'
'android','ba7e0fcae6a470406a949a41f1786fd171088bdd','Artur Termenji','2013-01-19','False'
'android','4cb5b4c0e0188e3b8a95e54b945912853f6a701e','Artur Termenji','2013-01-20','False'
'android','fb1f94df860d80d099596aa61b9db865455ce385','Kevin Sawicki','2013-01-21','False'
'android','3e16ab426c830d316d54229b020bf6026f152e3f','Kevin Sawicki','2013-01-21','False'
'android','0b667e2d92322ae948c833a783abbba123754211','Kevin Sawicki','2013-01-21','False'
'android','c318a9fab67b00c0b9fac4d87c0276291c250c5b','Artur Termenji','2012-12-09','False'
'android','8ccee488b6b677edfc79634462fb582124bd0397','Kevin Sawicki','2013-01-21','False'
'android','ae0744311dfd2e48206ff5b327847c1c1b489a56','Kevin Sawicki','2013-01-21','False'
'android','de3e20e0b593f28868e68f55394ec5ad526b0483','Kevin Sawicki','2013-01-21','False'
'android','a84426927a0f73109c60f60be4b2f055479537c1','Artur Termenji','2012-11-16','False'
'android','705b01dafa83a1e9164983122bf985b31e82bf5a','Kevin Sawicki','2012-12-14','False'
'android','219fc05914ba4ba9f492197042d3074ce6e95268','Kevin Sawicki','2012-12-05','False'
'android','0329042d0c6b4d1e27c5888f76eba214423eac7d','Kevin Sawicki','2012-12-05','False'
'android','8e550b4c8e68e9e9110652346c24ed1d2cf0e7df','Kevin Sawicki','2012-12-04','False'
'android','f8afd9739b9f19c8bb1a6fe1a57942ddf0e4405f','Kevin Sawicki','2012-12-04','True'
'android','0a273dfe6592124cac41f9af381664073dddb76b','Kevin Sawicki','2012-12-04','False'
'android','a6740da577e0c9a7d7d4b6fb2f98c98262070f96','Kevin Sawicki','2012-12-04','False'
'android','604e9c72b410455ca74533fa2395d663bf955412','Kevin Sawicki','2012-12-04','False'
'android','e1f7ace51ed9e106a5501273e6548d7a14acc9dd','Kevin Sawicki','2012-12-04','False'
'android','c08aa8f771a296c37faecf756bb02318310323a1','Kevin Sawicki','2012-12-04','False'
'android','e9ff00a37014a4721f35f6fbb1bd1fb5f608d5b4','Kevin Sawicki','2012-12-03','False'
'android','14f8b31c6ed208aef21aec35f3afa794ad3e718e','Kevin Sawicki','2012-12-03','False'
'android','35aad34ca889ce23f73eb43cd9447ad845106aa2','Kevin Sawicki','2012-12-03','False'
'android','5ef568ba80ed59f202f144603959ed6e03aefc15','Kevin Sawicki','2012-12-03','False'
'android','79433b1b1868e71abf871bdbd9e97dcde9cc5b5f','Kevin Sawicki','2012-11-28','False'
'android','6716c2213b9b0c53151cf5ba532e66e18d650c8e','Kevin Sawicki','2012-11-28','False'
'android','f6726e8e9ddf490e7e4d32d80fcc4c4e191b10e2','Kevin Sawicki','2012-11-28','False'
'android','118acb4608b4763a496e69b44dbe953758721b00','Kevin Sawicki','2012-11-28','False'
'android','ff53af9e290d1fec15e08c46113ff8882802a0b0','Kevin Sawicki','2012-11-28','False'
'android','4bf2db0e5dd509a34b24225d6ec31bf634758765','Kevin Sawicki','2012-11-27','False'
'android','efeac65ec353f9293e7b83b4c55e29f1298394e2','Kevin Sawicki','2012-11-27','False'
'android','f8010241cded7fe50b63613e4a0f4f8bee0076f6','Kevin Sawicki','2012-11-27','False'
'android','af531f981afa6f9e4b1c90830b0154d780d5b797','Kevin Sawicki','2012-11-27','False'
'android','66fd1abbd1e53146cfcff4fccec80916d3934fe2','Kevin Sawicki','2012-11-27','False'
'android','71be91e82d399aab1df452747305c72b08038fd6','Kevin Sawicki','2012-11-27','False'
'android','8dd0f7fbdba196feb3d5df1ee0e23bf50b3ede8c','Kevin Sawicki','2012-11-27','False'
'android','79f4a88394716d697fd2b2f3d43e8d64950efce2','Kevin Sawicki','2012-11-27','False'
'android','121bce7cd28ed50dc537e1172b32338d75feb4c1','Kevin Sawicki','2012-11-27','False'
'android','4c6f9c378a7290a3ff47f9eac2454689cc7ca628','Kevin Sawicki','2012-11-27','False'
'android','09c4274e9217fc9b67e674c13da0b8cf81928f61','Kevin Sawicki','2012-11-27','False'
'android','8c0ceb0f5ac74ebc818b98e09042fa48782152a7','Kevin Sawicki','2012-11-27','False'
'android','658206235a08be17eb7969eb4b1f4580653c71ba','Kevin Sawicki','2012-11-27','False'
'android','96cb1b3d5d7ee8120b12d8629f3f30ba75a4d8ac','Kevin Sawicki','2012-11-27','False'
